location,season_cn,cases_total,cases_avg,vaccine_avg,resource_avg,age_median
Rural,冬季,42674,20.186376537369913,0.19205298013245034,0.1,49.0
Rural,夏季,50330,20.067783094098882,0.1893939393939394,0.1,50.0
Rural,春季,50365,20.041782729805014,0.1993633107839236,0.1,50.0
Rural,秋季,34740,20.303915838690823,0.19754529514903565,0.10000000000000002,50.0
Suburban,冬季,20031,19.97108673978066,0.2313060817547358,0.1,50.0
Suburban,夏季,24591,20.074285714285715,0.20489795918367346,0.1,49.0
Suburban,春季,25116,19.90174326465927,0.1774960380348653,0.1,50.0
Suburban,秋季,15944,20.030150753768844,0.23115577889447236,0.1,53.0
Urban,冬季,141546,19.94729425028185,0.20532694475760993,0.1,50.0
Urban,夏季,174511,19.953235764921107,0.20363594786187972,0.1,49.0
Urban,春季,176071,19.9400906002265,0.1928652321630804,0.1,50.0
Urban,秋季,117968,20.04553950722175,0.20815632965165676,0.1,51.0
